_id,resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,year
6525f3fe35c39ef20d615aca,25197,1063,822,131,77,13,12,12,12,0,1,+22.414,229485,\N,0,\N,\N,1,2021
6525f3fe35c39ef20d615acb,25198,1063,841,51,99,14,13,13,13,0,1,+24.163,231234,\N,0,\N,\N,1,2021
6525f3fe35c39ef20d615acc,25199,1063,846,1,4,15,14,14,14,0,1,+27.110,234181,\N,0,\N,\N,1,2021
6525f3fe35c39ef20d615acd,25200,1063,852,213,22,16,15,15,15,0,1,+28.329,235400,\N,0,\N,\N,1,2021
6525f3fe35c39ef20d615ace,25201,1063,854,210,47,17,16,16,16,0,1,+29.507,236578,\N,0,\N,\N,1,2021
6525f3fe35c39ef20d615acf,25202,1063,853,210,9,18,17,17,17,0,1,+31.993,239064,\N,0,\N,\N,1,2021
6525f3fe35c39ef20d615ad0,25203,1063,8,51,7,0,18,18,18,0,1,+36.054,243125,\N,0,\N,\N,1,2021
6525f3fe35c39ef20d615ad1,25204,1063,815,9,11,0,19,19,19,0,1,+38.205,245276,\N,0,\N,\N,1,2021
6525f3fe35c39ef20d615ad2,25205,1063,840,117,18,19,20,20,20,0,1,+44.108,251179,\N,0,\N,\N,1,2021
6525f3fe35c39ef20d615ad3,25206,1064,830,9,33,1,1,1,1,25,72,1:30:05.395,5405395,60,3,1:13.275,209.244,1,2021
6525f3fe35c39ef20d615ad4,25207,1064,1,131,44,2,2,2,2,19,72,+20.932,5426327,72,1,1:11.097,215.654,1,2021
6525f3fe35c39ef20d615ad5,25208,1064,822,131,77,3,3,3,3,15,72,+56.460,5461855,69,2,1:12.549,211.338,1,2021
6525f3fe35c39ef20d615ad6,25209,1064,842,213,10,4,4,4,4,12,71,\N,\N,57,10,1:14.818,204.929,11,2021
6525f3fe35c39ef20d615ad7,25210,1064,844,6,16,5,5,5,5,10,71,\N,\N,58,9,1:14.780,205.033,11,2021
6525f3fe35c39ef20d615ad8,25211,1064,4,214,14,9,6,6,6,8,71,\N,\N,60,7,1:14.323,206.294,11,2021
6525f3fe35c39ef20d615ad9,25212,1064,832,6,55,6,7,7,7,6,71,\N,\N,45,13,1:15.260,203.725,11,2021
6525f3fe35c39ef20d615ada,25213,1064,815,9,11,0,8,8,8,4,71,\N,\N,59,4,1:13.461,208.714,11,2021
6525f3fe35c39ef20d615adb,25214,1064,839,214,31,8,9,9,9,2,71,\N,\N,54,8,1:14.675,205.321,11,2021
6525f3fe35c39ef20d615adc,25215,1064,846,1,4,13,10,10,10,1,71,\N,\N,48,6,1:14.236,206.535,11,2021
